"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1998,1,1,2.00696683385866,0.310821826467224,0.62380909695909
1999,1,1,4.169380860223,0.279280164113893,1.16442537089641
2000,1,1,10.4644804821313,0.266533007837263,2.78912945835678
2001,1,1,7.42678436810167,0.288205959673603,2.14044351609766
2002,1,1,14.9466908498677,0.279897394400515,4.18353982378798
2003,1,1,23.9294693544786,0.232298885195319,5.55878905436093
2004,1,1,14.7300529291875,0.226764641827591,3.34025517658866
2005,1,1,24.0741616891793,0.418279097307891,10.0697186197941
2006,1,1,10.7345983466274,0.232897554112032,2.50006169930458
2007,1,1,7.50160474095285,0.243552535282622,1.8270348533472
2008,1,1,18.2533136141307,0.249173464739269,4.54824139620541
2009,1,1,39.8337446341493,0.199031873807272,7.9281848352951
2010,1,1,15.9399513956952,0.189911758279876,3.02718419645222
2011,1,1,49.5526310123868,0.205336314413771,10.174954621589
2012,1,1,9.24380962969964,0.19614323096141,1.81311068716148
2013,1,1,10.9355028693092,0.190829988738624,2.08682188940146
2014,1,1,48.67296376379,0.244067218195725,11.8794748671695
2015,1,1,6.33308041201841,0.237003294646494,1.50096092290954
2016,1,1,11.5058244809678,0.232711595703262,2.67753877484768
2017,1,1,12.3602215382321,0.194368762088459,2.40244095952528
