"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1,1997,1,1,1.12977288488233,1.04509821191662,1.1807236218624
1,1998,1,1,1.23142979530254,0.376237939974444,0.463310609407779
1,1999,1,1,3.65957331561134,0.313790633730948,1.14833982989056
1,2000,1,1,6.52951517769737,0.264290631632337,1.72568969056658
1,2001,1,1,6.83657317479069,0.291523005042081,1.99301835610507
1,2002,1,1,16.5221872181883,0.306189876022433,5.05892645595653
1,2003,1,1,22.5918736663817,0.243219101907524,5.4947752235456
1,2004,1,1,13.4792273044484,0.239590650932804,3.22949684394403
1,2005,1,1,14.0332013743471,0.36345990305142,5.10050601102125
1,2006,1,1,8.0871190315504,0.233615560124134,1.8892768423462
1,2007,1,1,4.65721991050346,0.255011185539951,1.18764317069775
1,2008,1,1,17.9335432249263,0.258718651466062,4.63974211916126
1,2009,1,1,37.3329759578934,0.203101824286998,7.58239552311081
1,2010,1,1,15.3592681012133,0.206424603998222,3.17053083549549
1,2011,1,1,42.6466672260522,0.213498706183789,9.10500827581273
1,2012,1,1,10.201943008815,0.228997564124256,2.33622009835311
1,2013,1,1,11.3720780056776,0.208043666106684,2.36588879955236
1,2014,1,1,44.8041096799029,0.254243094766227,11.391135503264
1,2015,1,1,5.52826098451481,0.264461471829566,1.46201203662275
1,2016,1,1,10.2051573257222,0.252228556545825,2.57403210158996
1,2017,1,1,12.5369942247556,0.212022802256361,2.65812864740449
2,1997,1,1,251.213655846701,0.251375641386373,63.1489938634799
2,1998,1,1,248.59282575933,0.255487274723146,63.5123035689773
2,1999,1,1,250.690816016906,0.252494844192559,63.2981385306941
2,2000,1,1,254.975836378926,0.245681723255999,62.6429028702142
2,2001,1,1,250.931366803173,0.250739502892589,62.9184061723854
2,2002,1,1,251.666949517155,0.251942395648642,63.4055741669379
2,2003,1,1,252.73064440455,0.247998154683365,62.6767334442661
2,2004,1,1,251.993248616415,0.247005992781268,62.2438425486746
2,2005,1,1,253.420310347948,0.248045123542849,62.8596721885238
2,2006,1,1,256.006828787372,0.244139088048103,62.5012737142361
2,2007,1,1,252.152214450947,0.247729218245725,62.4654709648615
2,2008,1,1,254.991382787248,0.245346203267414,62.5611676327589
2,2009,1,1,256.820596348112,0.243123522582808,62.4391280559703
2,2010,1,1,249.676797803463,0.252161122230907,62.9587815291406
2,2011,1,1,254.791574249546,0.246922880802562,62.9138695179176
2,2012,1,1,248.945829186765,0.253517494424177,63.1121228627779
2,2013,1,1,257.534706458515,0.241685349655926,62.2423655789625
2,2014,1,1,253.72125409474,0.248314757741113,63.002731744307
2,2015,1,1,249.181944521686,0.252880577266048,63.0132739749205
2,2016,1,1,253.397386351407,0.248738620769959,63.0297163877614
2,2017,1,1,255.163579048866,0.246627413187541,62.9303334404962
