"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1997,1,1,200.951196333662,0.520432600498242,104.581553681161
1998,1,1,195.020272083802,0.522603929102413,101.918360445608
1999,1,1,196.653413920607,0.49493306413723,97.3302767247633
2000,1,1,206.788252475947,0.432061349750701,89.3452114773493
2001,1,1,206.694594655291,0.421881060646931,87.2005348231667
2002,1,1,209.183970870731,0.409400875833839,85.6401008848668
2003,1,1,221.3946664364,0.365880229035552,81.0039312630048
2004,1,1,233.438482892536,0.33563607073771,78.3503751570227
2005,1,1,241.672857044444,0.330587634854634,79.8940582188855
2006,1,1,258.591639860632,0.319684621499182,82.6677705116989
2007,1,1,276.379415469487,0.326021189367461,90.1055457480549
2008,1,1,287.275493810376,0.341274680499466,98.0398523654513
2009,1,1,296.432039633361,0.355244337569389,105.305803553907
2010,1,1,299.705472919288,0.361963921443811,108.482568256042
2011,1,1,302.530382257559,0.373115337564244,112.87872569947
2012,1,1,305.854855759016,0.379924131502093,116.201640439931
2013,1,1,309.162216753219,0.386015298464553,119.341345373954
2014,1,1,301.655953726837,0.398635533695019,120.250782106174
2015,1,1,297.267095048934,0.418563897170914,124.425273804369
2016,1,1,292.343248642992,0.442970169308819,129.499338347681
2017,1,1,291.360954521638,0.469889074529333,136.907329274158
