"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1998,1,1,1.61834201457004,0.382429608224318,0.618901902604972
1999,1,1,4.65376184645341,0.317243516988309,1.47637577539488
2000,1,1,8.13258488636553,0.275476754724663,2.24033809201882
2001,1,1,7.221096359573,0.308617685596846,2.22855804596323
2002,1,1,18.2223357909018,0.308311989000556,5.61816459192895
2003,1,1,25.4749884262103,0.256971383398644,6.5463430179477
2004,1,1,14.819360963612,0.247738018583806,3.67131912180344
2005,1,1,17.3619591102429,0.374538428082794,6.50272087358813
2006,1,1,8.81053085861261,0.236749178285324,2.08588594103403
2007,1,1,5.18493838871654,0.268769296723048,1.39355224428767
2008,1,1,20.4383434833325,0.263681245849151,5.38920787277799
2009,1,1,42.4639401482624,0.21080935387109,8.9517957854758
2010,1,1,16.2194559422417,0.216142959230035,3.5057212044573
2011,1,1,47.9900340100273,0.209721406569264,10.0645374338897
2012,1,1,10.3451664069442,0.23113536509247,2.3911338144114
2013,1,1,12.6862981701739,0.219825782706288,2.78877542490384
2014,1,1,53.9665912656095,0.2500345174369,13.4935106048111
2015,1,1,5.83275565255269,0.274085205457144,1.59867203141122
2016,1,1,11.5016153850501,0.261289535816711,3.00525174510207
2017,1,1,13.9295419196437,0.216387066614887,3.01417271528078
